1001A,116.3621,39.8784
1002A,116.2202,40.2915
1003A,116.4174,39.9289
1004A,116.4072,39.8863
1005A,116.462,39.9365
1006A,116.3392,39.9295
1007A,116.2878,39.9611
1008A,116.6636,40.135
1009A,116.6275,40.3275
1010A,116.2296,40.217
1011A,116.3966,39.9821
1012A,116.184,39.9136
1015A,117.1444,39.1661
1017A,117.237,39.1082
1018A,117.202,39.0927
1019A,117.1837,39.2133
1021A,117.307,39.0877
1023A,117.707,39.0343
1024A,117.457,38.8394
1026A,117.764,39.1587
1027A,117.157,38.9194
1029A,114.4422,38.0444
1030A,114.6063,38.0266
1031A,114.4898,38.1328
1032A,114.4586,38.0058
1033A,114.5331,38.0178
1034A,114.509,38.0457
1035A,114.3524,37.8911
1037A,118.131,39.6363
1038A,118.1725,39.6334
1040A,118.1705,39.6506
1041A,118.1869,39.622
1042A,119.5134,39.8207
1043A,119.7493,40.0116
1044A,119.5897,39.9499
1046A,119.5251,39.9041
1048A,114.5302,36.6116
1049A,114.4918,36.5713
1050A,114.484,36.6133
1051A,115.493,38.8632
1053A,115.4713,38.9108
1054A,115.4612,38.8416
1055A,115.4323,38.8697
1056A,115.5086,38.8639
1057A,114.8883,40.8336
1059A,114.8687,40.8042
1060A,114.8902,40.762
1061A,114.8916,40.8661
1062A,117.9531,40.9081
1063A,117.9392,40.9763
1064A,117.9503,40.928
1065A,117.8051,40.9655
1066A,117.9268,41.0026
1067A,116.6708,39.5111
1068A,116.7214,39.5589
1070A,116.7244,39.5269
1071A,116.8842,38.2991
1072A,116.8584,38.3254
1073A,116.8709,38.3228
1074A,115.6838,37.7541
1075A,115.6303,37.7316
1077A,114.4704,37.0886
1078A,114.5062,37.0349
1079A,114.5237,37.0851
1081A,112.5139,37.8873
1083A,112.434,38.0108
1084A,112.469,37.7124
1085A,112.5583,37.7394
1086A,112.5369,37.8692
1087A,112.57,37.8195
1088A,112.549,37.9854
1090A,111.6507,40.7517
1091A,111.6572,40.8033
1094A,111.7516,40.8369
1095A,111.7276,40.8062
1096A,111.5512,40.7866
1097A,111.717,40.7612
1098A,123.6836,41.9339
1099A,123.505,41.7406
1100A,123.4231,41.6989
1102A,123.5903,41.8411
1103A,123.4264,41.8467
1104A,123.4114,41.7653
1105A,123.4678,41.7867
1106A,123.4017,41.7972
1108A,123.3783,41.9228
1109A,121.612,38.9741
1110A,121.565,38.9511
1111A,121.5637,38.8845
1112A,121.6302,38.9117
1113A,121.6251,38.8638
1115A,121.2529,38.8061
1116A,121.7485,39.1311
1117A,121.7811,39.0496
1118A,121.9762,39.0631
1119A,125.3325,43.9166
1120A,125.2863,43.9027
1121A,125.2841,43.8463
1122A,125.3716,43.8772
1123A,125.3297,43.8805
1124A,125.4605,43.79
1125A,125.7194,43.515
1126A,125.3863,43.8447
1127A,125.245,43.7783
1128A,125.1761,43.8325
1129A,126.5422,45.755
1130A,126.561,45.8167
1131A,126.979,45.5419
1132A,126.599,45.7222
1133A,126.689,45.7733
1134A,126.635,45.7667
1135A,126.685,45.7319
1136A,126.6411,45.7258
1137A,126.593,45.7478
1138A,126.615,45.61
1139A,126.595,45.9855
1140A,126.6206,45.6842
1141A,121.4,31.238
1143A,121.467,31.3008
1144A,121.412,31.1654
1145A,121.536,31.2659
1147A,121.425,31.2261
1148A,121.703,31.1907
1149A,121.533,31.2284
1150A,121.577,31.2071
1151A,118.8086,32.1065
1152A,118.7538,32.0551
1153A,118.7794,32.0745
1154A,118.7752,32.0023
1155A,118.8109,32.0309
1156A,118.7997,32.0754
1157A,118.6414,32.0931
1158A,118.7356,31.9996
1159A,118.9125,32.1028
1160A,120.561,31.2472
1162A,120.591,31.3019
1163A,120.596,31.3264
1164A,120.613,31.2703
1165A,120.543,31.2994
1166A,120.669,31.3097
1167A,120.641,31.3708
1168A,120.9098,31.9663
1169A,120.86,32.0005
1170A,120.87,32.02
1171A,120.94,31.93
1172A,120.81,32.0417
1173A,119.176,34.5885
1177A,117.179,34.2761
1178A,117.1918,34.2384
1180A,117.256,34.2153
1181A,117.244,34.2911
1182A,117.2933,34.2778
1186A,119.389,32.3761
1188A,120.269,31.4867
1189A,120.275,31.6219
1190A,120.294,31.56
1191A,120.242,31.5031
1192A,120.3489,31.5863
1193A,120.354,31.5475
1194A,120.245,31.5631
1195A,120.299,31.6817
1196A,119.9633,31.762
1200A,119.9468,31.7069
1201A,119.9255,31.9087
1203A,119.6707,32.1875
1204A,119.4974,32.1968
1205A,119.4303,32.1328
1206A,119.905,32.4878
1207A,119.9189,32.4625
1209A,119.888,32.4639
1210A,119.036,33.5981
1211A,119.007,33.575
1212A,118.989,33.6067
1213A,119.135,33.5039
1214A,119.0186,33.6297
1215A,120.118,33.4022
1216A,120.156,33.3942
1218A,120.2144,33.38
1220A,118.293,33.9528
1221A,118.2442,33.9592
1223A,120.2072,30.2111
1224A,120.0633,30.2747
1226A,120.3461,30.3153
1227A,120.1269,30.2456
1228A,120.1903,30.2692
1230A,120.1197,30.3119
1231A,120.3019,30.4183
1232A,120.2697,30.1819
1233A,120.0883,30.1808
1234A,121.8358,29.911
1235A,121.56,29.82
1236A,121.713,29.9572
1239A,121.633,29.7733
1240A,121.5856,29.8635
1241A,121.524,29.8674
1242A,120.634,28.0089
1243A,120.6748,27.9939
1244A,120.76,27.9747
1245A,120.6709,28.0167
1247A,120.6053,29.9928
1250A,120.0751,30.8669
1252A,120.7436,30.778
1253A,120.726,30.7478
1255A,121.273,28.6459
1256A,121.419,28.6542
1257A,121.377,28.5773
1258A,122.122,30.0203
1259A,122.3094,29.9558
1260A,122.19,29.9944
1262A,119.647,29.077
1263A,119.686,29.1029
1264A,118.8692,28.9398
1265A,118.8709,28.9666
1266A,118.8621,28.9808
1267A,119.914,28.4514
1268A,119.93,28.4586
1269A,119.879,28.4231
1270A,117.1959,31.7848
1271A,117.3072,31.8764
1272A,117.2588,31.8707
1273A,117.1604,31.9052
1274A,117.25,31.8571
1275A,117.266,31.9436
1276A,117.336,31.8586
1277A,117.3027,31.7964
1278A,117.2776,31.7385
1279A,117.1318,31.8403
1282A,119.2681,26.0504
1283A,119.2984,26.1028
1284A,119.2648,26.0768
1285A,119.317,26.0746
1286A,118.1608,24.8169
1287A,118.1514,24.4767
1288A,118.0661,24.4444
1290A,115.8931,28.6843
1291A,115.8886,28.7003
1292A,115.8126,28.7442
1294A,115.8518,28.687
1295A,115.8921,28.6424
1296A,115.7423,28.7996
1298A,115.9314,28.6842
1299A,116.9862,36.6114
1300A,116.9376,36.665
1301A,117.1265,36.6734
1303A,117.0624,36.6868
1304A,116.9489,36.6447
1305A,117.0495,36.663
1306A,116.7675,36.5484
1307A,120.6659,36.2403
1310A,120.4134,36.0658
1311A,120.3664,36.1032
1312A,120.2994,36.054
1313A,120.4581,36.0858
1314A,120.1983,35.9608
1315A,120.3999,36.3083
1316A,113.69031,34.76122
1317A,113.65724,34.77134
1318A,113.67526,34.80246
1319A,113.56746,34.81334
1320A,113.7329,34.7178
1321A,113.73961,34.77172
1322A,113.60532,34.74838
1323A,113.64164,34.7525
1324A,113.51488,34.91089
1325A,114.3677,30.5584
1326A,114.2529,30.558
1327A,114.282,30.6189
1328A,114.3025,30.5332
1329A,114.3646,30.6217
1330A,114.1566,30.4825
1331A,114.3014,30.5944
1333A,114.135,30.6319
1334A,113.8454,30.2917
1335A,113.0833,28.2325
1336A,112.8872,28.2189
1337A,113.0792,28.2053
1338A,112.9394,28.19
1339A,113.0178,28.1322
1340A,112.9792,28.2597
1341A,113.0014,28.1944
1342A,112.9844,28.1178
